name,restriction,title,bannerTextColor,bannerImage,bannerBackColor,freeOf,designation,type,understandingTitle,understandingRestriction,restrictionImage,understandingTitle2,understandingIntolerance,intoleranceImage,cautionLabel,ingredientList,ingredientStarred,foodListTitle,foodLabel,foodTitle1,foodBody1,foodImage1,foodTitle2,foodBody2,foodImage2,foodTitle 3,foodBody3,foodImage3,foodTitle4,foodBody4,foodImage4,link1,link2,link3,allergyContent,allergyContentTitle,dietContent,dietContent title
Treenut,allergy,Tree Nut Friendly,SecondaryColors.Brown,mascot-treenut.png,SecondaryColors.MutedBlue,"free of almonds, Brazil nuts, cashews, chestnuts, hazelnuts, macadamia nuts, pecans, pine nuts, pistachios, and walnuts",tree nut-free,tree nut allergy,Understanding a Tree Nut Allergy,"A tree nut allergy is a heightened sensitivity to one or more tree nuts, one of the most common allergy-causing foods. Although only about 40% of children with tree nut allergies have a peanut allergy, there's a significant chance of cross-reactivity among different tree nuts, with around 50% of children allergic to one tree nut also being allergic to another. Unlike some allergies that can be outgrown, tree nut allergies often persist throughout life.",nuts.png,,,,Here are some of the most common ingredients that you should look out for:,"Pesto, Nut milk (e.g., almond milk, cashew milk), Nut oils (e.g., walnut oil, almond oil), Nut paste (e.g., almond paste)",,,Here are some of the highest-risk foods for people with a tree nut allergy: ,Desserts and Baked Goods,"Always inquire about desserts and baked goods, as they may contain almond flour, ground nuts, or nut extracts.",baked-goods.png,Ice Cream,"Flavors like pistachio may contain actual tree nuts or traces of them. Cross-contamination is also common in ice cream parlors due to shared scoops. This risk extends to soft-serve ice cream, custard, water ice, and yogurt shops that use the same dispensing equipment for various flavors.",ice-cream.png,"African and Asian Food (especially Chinese, Indian, Thai, and Vietnamese)","Dishes from various global cuisines pose a significant risk of cross-contact with tree nuts, even when ordering dishes without tree nuts.",asian-food.png,Salads,"Candied nuts, such as almonds, or pecans, are common salad toppings.",salad.png,https://www.foodallergy.org/living-food-allergies/food-allergy-essentials/common-allergens/tree-nut,https://www.foodallergy.org/resources/recognizing-and-responding-reaction,,,,,
Vegan,diet,Vegan Diets,SecondaryColors.Green,mascot-vegan.png,SecondaryColors.BrightYellow,"free of animal products, including meat, poultry, fish, dairy, eggs, and honey",vegan-friendly,vegan dietary preference,Understanding a Vegan Diet,"Vegan diets mainly consist of plant-based foods like fruits, vegetables, grains, legumes, nuts, and seeds. Individuals who choose to follow a vegan diet commonly do so for reasons related to animal welfare, environmental impact, or their personal health. Like vegetarians, vegans do not eat food derived from animal flesh, including meat, poultry, and fish. However, vegan diets are more strict than vegetarian diets because they exclude all animal foods and products, including dairy, eggs, and honey.",vegan.png,,,,Here are some of the most common non-vegan food items that you should look out for:,"Meat (beef, pork, lamb, etc.), Poultry (chicken, turkey, duck, etc.), Fish and seafood (crabs, clams, mussels, etc.), Dairy products (milk, ice cream, cheese, yogurt, butter, etc.), Eggs, Honey and other bee products ",,Vegan Delights: Menu Highlights ,,Veggie Burgers,"Plant-based patties made from ingredients like beans, grains, and vegetables, providing a savory and satisfying alternative to traditional burgers.",veggie-burger.png,Buddha Bowls,"Nourishing bowls typically made of vegetables, grains (such as quinoa or rice), legumes, and flavorful dressings, offering a balanced and colorful option.",buddha-bowl.png,Avocado Toast,"Sliced avocado served atop toasted bread, often accompanied by seasonings, greens, or other toppings, delivering a creamy and nutrient-rich dish perfect for breakfast or brunch.",avocado-toast.png,Vegetable Stir Fry,"A flavorful combination of assorted vegetables quickly cooked in a savory sauce, served over rice or noodles, providing a vibrant and customizable meal packed with nutrients.",stirfry.png,https://www.webmd.com/diet/vegan-diet-overview,https://www.mentalforlentils.com/dining-out-plant-based/,,,,,
Vegetarian,diet,Vegetarian Diets,SecondaryColors.Green,mascot-vegetarian.png,SecondaryColors.Pink,"free of meat, fish, and fowl flesh",vegetarian-friendly,vegetarian dietary preference,Understanding a Vegetarian Diet,"Vegetarian diets mainly consist of plant-based foods like fruits, vegetables, grains, legumes, nuts, and seeds. Individuals who choose to follow a vegetarian diet commonly do so for reasons related to animal welfare or their personal health. Unlike vegans, vegetarians may include dairy and eggs in their diet while abstaining from animal flesh, including meat, poultry, and fish.",vegetarian.png,,,,Here are some of the most common non-vegetarian food items that you should look out for:,"Meat (beef, pork, lamb, etc.), Poultry (chicken, turkey, duck, etc.), Fish and seafood (crabs, clams, mussels, etc.)",,Vegetarian Delights: Menu Highlights,,Veggie Burgers,"Plant-based patties made from ingredients like beans, grains, and vegetables, providing a savory and satisfying alternative to traditional burgers.",veggie-burger.png,Buddha Bowls,"Nourishing bowls typically made of vegetables, grains (such as quinoa or rice), legumes, and flavorful dressings, offering a balanced and colorful option.",buddha-bowl.png,Avocado Toast,"Sliced avocado served atop toasted bread, often accompanied by seasonings, greens, or other toppings, delivering a creamy and nutrient-rich dish perfect for breakfast or brunch. ",avocado-toast.png,Vegetable Stir Fry,"A flavorful combination of assorted vegetables quickly cooked in a savory sauce, served over rice or noodles, providing a vibrant and customizable meal packed with nutrients.",stirfry.png,https://www.webmd.com/diet/vegan-diet-overview,https://www.mentalforlentils.com/dining-out-plant-based/,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
